,underlying,triple,years,start,gap,P/L
35,SOXX,SOXL,8,2011-04-15,-66.33944642288111,-2.511828278666144
36,SOXX,SOXL,13,2011-10-27,1691.5601891851293,3284.195683574806
37,SOXX,SOXL,6,2012-02-04,-144.99872920557937,-101.2730937204642
38,SOXX,SOXL,11,2014-03-04,575.5848301581309,2590.694691230141
39,SOXX,SOXL,14,2010-07-01,4004.6460800366713,3350.121697369752
40,SOXX,SOXL,11,2010-05-03,108.89333379596519,428.79406420167106
41,SOXX,SOXL,7,2011-11-18,-109.68874527835851,-52.91975274288234
42,SOXX,SOXL,9,2012-05-29,-148.0210215323541,414.91005895497074
43,SOXX,SOXL,12,2011-10-17,529.9075268375313,1732.6524038750576
44,SOXX,SOXL,9,2016-01-03,763.6870636944961,2259.5239690997714
45,SOXX,SOXL,11,2013-04-09,1653.6243435347305,2122.881418176752
46,SOXX,SOXL,12,2011-05-08,136.2351844240859,1102.5237040096072
47,SOXX,SOXL,14,2010-03-19,1063.697601338352,2341.9947551359073
48,SOXX,SOXL,8,2011-05-18,-49.64928519765408,17.20905223662612
49,SOXX,SOXL,6,2019-07-29,102.46425286783276,1097.1973950798865
50,SOXX,SOXL,6,2014-07-09,35.80356198047184,313.7173694277317
51,SOXX,SOXL,13,2011-11-11,1781.8619201636766,3364.0786957425626
52,SOXX,SOXL,13,2010-04-28,212.22297718699838,1261.784516769998
53,SOXX,SOXL,10,2010-05-17,24.219513603643918,523.0694775184302
54,SOXX,SOXL,7,2017-04-24,217.54045860459712,978.0739112577594
55,SOXX,SOXL,6,2015-09-23,415.93692521936146,509.3622903575979
56,SOXX,SOXL,6,2013-02-04,-62.31558330156054,3.9001402917483574
57,SOXX,SOXL,14,2010-08-22,3110.2886800480446,3775.549266938251
58,SOXX,SOXL,8,2010-11-07,-81.83750318065483,-67.10384018496279
59,SOXX,SOXL,12,2010-10-12,-0.734897112039107,821.1593968293055
60,SOXX,SOXL,10,2010-04-28,25.697079977217072,471.8541138225464
61,SOXX,SOXL,6,2018-02-03,109.94418785015546,670.487251736663
62,SOXX,SOXL,6,2014-08-01,52.90957273618096,348.52009265489505
63,SOXX,SOXL,9,2011-01-03,-108.16763159328093,13.409778143738578
64,SOXX,SOXL,11,2013-06-16,1867.008821545469,2126.436580123711
65,SOXX,SOXL,14,2010-06-20,3589.8474441903527,2940.5359378832327
66,SOXX,SOXL,14,2010-04-12,1324.0246514015562,2406.561816695619
67,SOXX,SOXL,7,2015-03-25,223.84798359255979,446.4371778584291
68,SOXX,SOXL,13,2012-05-10,1015.2332886055206,4203.648178161748
69,SOXX,SOXL,12,2010-04-13,64.70372578619799,664.4031217302563
70,IWM,TNA,10,2014-04-20,15.052422549373304,286.62034614163235
71,IWM,TNA,11,2009-12-21,-43.64182737555416,22.404258199551805
72,IWM,TNA,12,2009-04-28,77.80977576575424,176.66088935395237
73,IWM,TNA,12,2008-12-20,41.796473601629714,178.95636602936247
74,IWM,TNA,9,2011-02-23,-22.924172103441833,-24.864251551334306
75,IWM,TNA,15,2010-02-20,66.83163530815983,704.3832261856251
76,IWM,TNA,12,2011-03-20,-0.5804012589952379,111.5289127482356
77,IWM,TNA,8,2016-04-29,24.139487271453717,321.8465896473035
78,IWM,TNA,15,2009-04-05,136.27221947342525,699.2941891615637
79,IWM,TNA,8,2011-08-20,-41.335942864273875,-53.18611025706741
80,IWM,TNA,10,2010-08-15,-9.12536263845999,94.57753279964663
81,IWM,TNA,10,2015-06-19,20.2926440407457,445.79174576078606
82,IWM,TNA,9,2016-02-26,48.40330787377397,520.6100199855407
83,IWM,TNA,11,2010-11-01,-28.6360848958966,38.45069706655616
84,IWM,TNA,15,2009-08-21,91.46091315038302,679.2186860351321
85,IWM,TNA,13,2010-01-20,-13.433960041541411,75.18706444534973
86,IWM,TNA,15,2010-03-05,44.19738820404359,681.5841615593508
87,IWM,TNA,14,2008-12-28,24.063078676801126,204.69503764129604
88,IWM,TNA,7,2009-07-16,-14.317340225904672,-107.41265487041164
89,IWM,TNA,11,2011-03-14,-9.218246268675841,41.287343920205785
90,IWM,TNA,15,2009-04-22,99.67439244094942,674.6695967359929
91,IWM,TNA,7,2017-02-08,14.164961771683409,255.44469842465026
92,IWM,TNA,9,2014-08-13,10.427838524297286,184.2811042547644
93,IWM,TNA,8,2013-08-24,10.135652118858275,91.64898485422873
94,IWM,TNA,6,2015-12-24,14.5161100670162,92.34967899475441
95,IWM,TNA,15,2010-01-29,71.70909132261863,707.9189274638875
96,IWM,TNA,14,2011-01-05,40.970132412707386,534.1255845328178
97,IWM,TNA,11,2014-03-13,20.25726473265685,437.8398649867611
98,IWM,TNA,10,2009-11-21,-71.01317047959128,-91.73264807089345
99,IWM,TNA,11,2012-06-20,4.869652027900827,152.8901836061723
100,IWM,TNA,7,2010-04-13,-40.70626204782508,-169.41676000601024
101,IWM,TNA,12,2010-12-23,-3.944731073092072,62.617843115603605
102,IWM,TNA,10,2014-03-04,13.781190498373931,246.35353768892944
103,IWM,TNA,12,2013-02-10,54.582505822145805,537.0454480325075
104,IWM,TNA,7,2016-04-08,10.047340844158441,158.66254332916355
105,QQQ,TQQQ,10,2010-04-23,-73.02899373388527,252.31754170845488
106,QQQ,TQQQ,6,2013-07-11,-6.176170011966633,68.89171271528039
107,QQQ,TQQQ,11,2010-11-05,-203.34792666142857,302.1133190491346
108,QQQ,TQQQ,10,2015-08-09,1026.7789267075584,1569.3733043487173
109,QQQ,TQQQ,7,2011-05-03,-121.48097745604537,-105.45474762423055
110,QQQ,TQQQ,14,2010-06-24,3748.6605941904636,2237.960152634685
111,QQQ,TQQQ,13,2011-01-02,1077.8487599726805,1360.111631372236
112,QQQ,TQQQ,12,2010-04-29,-113.90692233115988,380.5567382883455
113,QQQ,TQQQ,11,2014-01-10,1305.219408158357,1571.6900264951983
114,QQQ,TQQQ,9,2014-04-01,164.34065432780676,541.3196863181611
115,QQQ,TQQQ,7,2011-06-21,-180.7316763616675,-105.66460536770046
116,QQQ,TQQQ,6,2014-11-05,58.614161471624016,193.95378365480292
117,QQQ,TQQQ,10,2010-07-18,-179.6017623936832,285.58309929909774
118,QQQ,TQQQ,8,2014-09-10,74.43323372593568,315.58109507847894
119,QQQ,TQQQ,9,2011-08-14,-76.47942008712653,244.99036022980545
120,QQQ,TQQQ,6,2010-06-25,-89.63058222598966,-197.81666036128945
121,QQQ,TQQQ,11,2010-08-19,-257.16278407031314,345.30939282766485
122,QQQ,TQQQ,13,2011-07-02,2079.0600555094115,1767.6523632446733
123,QQQ,TQQQ,8,2014-11-21,61.76952918549932,352.05573168254705
124,QQQ,TQQQ,7,2012-11-14,-34.16778329381418,108.2547506185947
125,QQQ,TQQQ,10,2013-08-26,398.7560012639733,817.7542842970606
126,QQQ,TQQQ,7,2013-02-07,2.68209415396268,124.46839876034574
127,QQQ,TQQQ,6,2011-05-10,-93.60731057264002,-149.93965321425003
128,QQQ,TQQQ,8,2012-06-23,-4.212169391412772,220.9360228791502
129,QQQ,TQQQ,14,2010-09-15,3457.8986702184957,2421.5284886329446
130,QQQ,TQQQ,6,2018-10-12,210.81482679254566,713.5669608938751
131,QQQ,TQQQ,11,2010-08-19,-257.16278407031314,345.30939282766485
132,QQQ,TQQQ,6,2010-12-06,-74.03838996544698,-160.76736579527733
133,QQQ,TQQQ,14,2010-12-15,3719.375103213608,2407.568742957401
134,QQQ,TQQQ,12,2013-06-25,2722.139494372277,2303.0300546900617
135,QQQ,TQQQ,9,2016-01-03,832.530306283131,1285.4640774175741
136,QQQ,TQQQ,9,2014-08-30,240.73190209803556,659.6447448911722
137,QQQ,TQQQ,13,2010-04-12,284.9407853984949,892.565208678936
138,QQQ,TQQQ,12,2012-12-06,2744.9112775677104,1984.9373530567318
139,QQQ,TQQQ,14,2011-02-19,3541.9522394058295,2466.209145909619
140,DIA,UDOW,10,2010-11-27,-335.77515791584744,-458.68836652476284
141,DIA,UDOW,12,2011-09-27,-316.17093292513346,-315.56751611002255
142,DIA,UDOW,13,2010-03-27,-404.1816142978546,-534.8120685828926
143,DIA,UDOW,9,2015-04-28,-22.89752096284957,53.27006311654986
144,DIA,UDOW,11,2013-05-05,-98.86353802179951,-22.27727305739745
145,DIA,UDOW,11,2013-09-24,-71.29141513713375,75.46057611954939
146,DIA,UDOW,13,2012-01-05,-248.3546574809816,75.27551682681406
147,DIA,UDOW,11,2011-04-25,-338.2236495521074,-490.4139413303028
148,DIA,UDOW,6,2017-08-12,-1.664476110259045,33.898909956878015
149,DIA,UDOW,9,2011-09-25,-226.16852659501012,-394.22552731730275
150,DIA,UDOW,6,2011-06-04,-132.21378517834478,-381.1838071648481
151,DIA,UDOW,6,2013-10-27,-69.26316042036342,-184.0564615970045
152,DIA,UDOW,8,2013-11-05,-141.73890301917424,-240.1580391848961
153,DIA,UDOW,11,2011-05-26,-286.2750073503295,-495.84154622856886
154,DIA,UDOW,10,2013-06-11,-103.45879818163519,-199.7257257248516
155,DIA,UDOW,12,2012-03-21,-240.251561779163,-129.9114689438029
156,DIA,UDOW,6,2012-05-22,-179.85811531248805,-344.70081670369655
157,DIA,UDOW,13,2011-09-01,-369.51454046547815,-36.67294670534011
158,DIA,UDOW,8,2012-10-16,-123.69656446924114,-265.3012435942237
159,DIA,UDOW,14,2011-03-19,-261.59432393394945,99.63110738216074
160,DIA,UDOW,9,2012-01-01,-231.83503693784428,-348.3351310913258
161,DIA,UDOW,7,2016-11-24,-2.791584259877766,50.947535113728236
162,DIA,UDOW,11,2011-12-24,-287.248685859488,-428.2091176248855
163,DIA,UDOW,12,2012-01-18,-256.8084047825047,-182.7887903878809
