,SPY_Close,SPY_per_change,SPY_cumulative,SPXL_Close,SPXL_per_change,SPXL_cumulative,ideal_per_change,ideal_cumulative,shares_under,shares_trip,portfolio_SPY_long,portfolio_SPXL_short,portfolio_total,beta_exposure
2017-07-18,245.66,1.0,1.0,35.68,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-07-19,246.99,0.01,1.01,36.26,0.02,1.02,0.02,1.02,12.21,-28.03,3016.24,-1016.26,1999.99,-32.52
2017-07-20,247.1,0.0,1.01,36.29,0.0,1.02,0.0,1.02,12.21,-28.03,3017.59,-1017.1,2000.49,-33.7
2017-07-21,246.88,-0.0,1.0,36.22,-0.0,1.02,-0.0,1.01,12.21,-28.03,3014.9,-1015.13,1999.76,-30.51
2017-07-24,246.82,-0.0,1.0,36.17,-0.0,1.01,-0.0,1.01,12.21,-28.03,3014.17,-1013.73,2000.43,-27.03
2017-07-25,247.42,0.0,1.01,36.44,0.01,1.02,0.01,1.02,12.21,-28.03,3021.49,-1021.3,2000.19,-42.41
2017-07-26,247.43,0.0,1.01,36.44,0.0,1.02,0.0,1.02,12.21,-28.03,3021.62,-1021.3,2000.31,-42.29
2017-07-27,247.2,-0.0,1.01,36.34,-0.0,1.02,-0.0,1.02,12.21,-28.03,3018.81,-1018.5,2000.31,-36.69
2017-07-28,246.91,-0.0,1.01,36.19,-0.0,1.01,-0.0,1.02,12.21,-28.03,3015.27,-1014.29,2000.97,-27.62
2017-07-31,246.77,-0.0,1.0,36.13,-0.0,1.01,-0.0,1.01,12.21,-28.03,3013.56,-1012.61,2000.94,-24.28
2017-08-01,247.32,0.0,1.01,36.35,0.01,1.02,0.01,1.02,12.21,-28.03,3020.27,-1018.78,2001.49,-36.06
2017-08-02,247.44,0.0,1.01,36.4,0.0,1.02,0.0,1.02,12.21,-28.03,3021.74,-1020.18,2001.56,-38.8
2017-08-03,246.96,-0.0,1.01,36.22,-0.0,1.02,-0.01,1.02,12.21,-28.03,3015.88,-1015.13,2000.74,-29.53
2017-08-04,247.41,0.0,1.01,36.39,0.0,1.02,0.01,1.02,12.21,-28.03,3021.37,-1019.9,2001.47,-38.33
2017-08-07,247.87,0.0,1.01,36.55,0.0,1.02,0.01,1.03,12.21,-28.03,3026.99,-1024.38,2002.61,-46.16
2017-08-08,247.26,-0.0,1.01,36.33,-0.01,1.02,-0.01,1.02,12.21,-28.03,3019.54,-1018.22,2001.32,-35.11
2017-08-09,247.25,-0.0,1.01,36.28,-0.0,1.02,-0.0,1.02,12.21,-28.03,3019.42,-1016.82,2002.6,-31.03
2017-08-10,243.76,-0.01,0.99,34.78,-0.04,0.97,-0.04,0.98,12.21,-28.03,2976.8,-974.78,2002.02,52.47
2017-08-11,244.12,0.0,0.99,34.89,0.0,0.98,0.0,0.98,12.21,-28.03,2981.19,-977.86,2003.33,47.62
