,underlying,triple,years,start,gap,P/L
67,SOXX,SOXL,7,2017-12-03,147.90059283645695,1146.818866758702
68,SOXX,SOXL,13,2012-03-03,1211.5616770152974,3639.183049091298
69,SOXX,SOXL,10,2010-09-29,-65.77235352980279,422.6403985395955
70,IWM,TNA,15,2009-08-01,113.72443274207552,668.54094870064
71,IWM,TNA,7,2016-04-23,9.8081407819936,157.45277987760275
72,IWM,TNA,9,2015-09-04,29.502691029595397,384.901428067556
73,IWM,TNA,12,2013-06-06,37.57443706456871,575.8240408859797
74,IWM,TNA,7,2011-03-24,-34.062800378948964,-128.147571850428
75,IWM,TNA,15,2010-06-04,61.95110397463003,799.3760921864391
76,IWM,TNA,15,2010-01-31,72.07091870306454,704.4575982156512
77,IWM,TNA,15,2009-01-01,69.55446166610346,520.8426308811459
78,IWM,TNA,14,2009-06-16,41.49651796815385,297.717512288119
79,IWM,TNA,6,2010-11-28,-36.13433143686973,-141.20514140482987
80,IWM,TNA,7,2009-08-20,-10.557220718107544,-91.14097720981134
81,IWM,TNA,10,2013-07-04,11.22669184844355,176.88948593880014
82,IWM,TNA,12,2010-05-08,-15.013146834463328,27.8222219270624
83,IWM,TNA,10,2013-07-15,11.503764410331371,183.0318003577563
84,IWM,TNA,13,2009-03-10,106.27529606619532,222.68837189559417
85,IWM,TNA,12,2012-12-31,60.049115617422956,542.0783113019265
86,IWM,TNA,7,2015-08-26,7.982965643760025,100.97888190463456
87,IWM,TNA,8,2015-09-16,11.468335534702817,210.40792546346202
88,IWM,TNA,8,2014-03-05,2.6068711249324963,58.98930945618851
89,IWM,TNA,8,2012-11-16,1.837476544558342,95.58439081527695
90,IWM,TNA,13,2009-08-08,23.57114279415697,136.69980563619626
91,IWM,TNA,7,2018-01-19,18.393301767897647,344.6115594273534
92,IWM,TNA,13,2009-06-04,19.004219311809493,127.90415780494004
93,IWM,TNA,11,2011-11-14,-9.395005658157743,62.80103168484084
94,IWM,TNA,10,2009-09-13,4.455901821509315,20.369284250588862
95,IWM,TNA,10,2009-08-12,2.9140026485212047,8.726932939401664
96,IWM,TNA,12,2012-03-05,27.13827333271871,324.7610509422857
97,IWM,TNA,10,2014-11-11,33.72373072495486,385.4119498460541
98,IWM,TNA,13,2010-08-08,5.683007149947798,215.26339136839263
99,IWM,TNA,15,2010-04-04,31.784511826615528,680.2258411142211
100,IWM,TNA,8,2016-05-20,30.20144764259703,340.6944530817368
101,IWM,TNA,10,2012-06-26,-3.410574564022454,58.74827844631545
102,IWM,TNA,8,2015-08-26,12.54664293755728,211.43336038933805
103,IWM,TNA,13,2009-12-22,-20.406548833026193,36.5089309409955
104,IWM,TNA,10,2009-11-22,-68.58227807720948,-86.30372293608025
105,QQQ,TQQQ,7,2011-09-20,-167.2450022693904,-60.89412476978214
106,QQQ,TQQQ,8,2010-03-02,-304.95279660365486,-165.2672486751726
107,QQQ,TQQQ,9,2010-07-29,-221.91570396836096,56.487527675261845
108,QQQ,TQQQ,12,2012-09-27,1812.1296903740194,1718.6800456193523
109,QQQ,TQQQ,9,2015-12-25,849.0856992019035,1237.6076475966938
110,QQQ,TQQQ,6,2010-08-28,-142.90053645776266,-200.7895387382987
111,QQQ,TQQQ,7,2016-03-28,119.5806073486118,471.1375066150363
112,QQQ,TQQQ,11,2013-08-10,1123.9688550797414,1472.8046619386914
113,QQQ,TQQQ,8,2015-03-22,91.46418497443312,434.4499001032068
114,QQQ,TQQQ,14,2010-11-10,3321.6141526102765,2315.428681234189
115,QQQ,TQQQ,7,2014-03-28,103.51732131113204,221.12062114386208
116,QQQ,TQQQ,6,2016-09-16,66.602719831061,303.92060264831116
117,QQQ,TQQQ,10,2011-06-18,-81.55863636970662,293.1605027563801
118,QQQ,TQQQ,13,2011-12-29,4026.432244995871,2363.887077579853
119,QQQ,TQQQ,11,2010-12-23,-141.3910230767815,304.45900567326134
120,QQQ,TQQQ,8,2010-05-18,-265.8394798222698,-130.53179810597885
121,QQQ,TQQQ,7,2018-01-17,276.0439618798455,861.7878309812177
122,QQQ,TQQQ,10,2010-08-11,-175.50752611043026,285.7405724498967
123,QQQ,TQQQ,13,2010-08-09,864.3997877089287,1213.7656469389567
124,QQQ,TQQQ,11,2010-05-13,-216.21070679595869,295.9900923693058
125,QQQ,TQQQ,12,2010-02-24,-219.73099142486353,403.1987529623075
126,QQQ,TQQQ,11,2010-09-02,-386.7519883026507,340.1208888473575
127,QQQ,TQQQ,9,2016-02-06,1374.5193718869104,1511.8043227625267
128,QQQ,TQQQ,11,2013-03-29,1305.24148238827,1329.7162580941313
129,QQQ,TQQQ,14,2010-09-20,3531.1082007329132,2391.1497162610085
130,QQQ,TQQQ,8,2010-03-01,-311.8669287837106,-159.39604306174442
131,QQQ,TQQQ,13,2012-03-07,2284.856666057338,2240.9027400884643
132,QQQ,TQQQ,10,2012-10-11,68.00619179746172,422.75184550547783
133,QQQ,TQQQ,7,2017-05-14,263.8071581947653,748.7570064458446
134,QQQ,TQQQ,12,2011-11-16,907.3011809902209,1227.3070865218651
135,QQQ,TQQQ,12,2010-05-22,-28.192363580224082,474.91861168071773
